,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
114,Fable Anniversary ,Role playing,2014.0,13.5,68.0,7.2
115,Fable II ,Role playing,2010.0,13.5,89.0,6.7
116,Fable III ,Action & adventure,2010.0,13.5,80.0,6.6
117,Fallout 3 ,Role playing,2010.0,23.5,93.0,8.5
118,Fallout 4 ,Role playing,2015.0,28.0,88.0,6.7
119,Fallout 76 ,Role playing,2018.0,33.5,49.0,3.3
120,Fallout: New Vegas ,Action & adventure,2010.0,27.5,84.0,8.7
121,Far Cry 5 ,Shooter,2018.0,18.0,82.0,7.1
122,Farming Simulator 22 ,Simulation,2021.0,350.0,78.19658119658119,6.767610062893081
123,Farworld Pioneers ,Action & adventure,2023.0,19.1825,78.19658119658119,6.767610062893081
124,Fe ,Action & adventure,2018.0,5.5,70.0,7.0
125,Feeding Frenzy ,Action & adventure,2006.0,2.0,65.0,7.1
126,Feeding Frenzy 2 ,Action & adventure,2008.0,2.5,65.0,7.6
127,FIFA 22 ,Sports,2021.0,73.5,78.19658119658119,2.3
128,FIFA 23 Standard Edition,Simulation,2022.0,109.5,78.19658119658119,2.7
129,Fight Night Champion ,Fighting,2010.0,4.5,86.0,7.4
130,Figment 2: Creed Valley ,Action & adventure,2023.0,4.0,78.19658119658119,6.767610062893081
131,Firewatch ,Action & adventure,2016.0,4.0,85.0,6.0
132,Football Manager 2024 Console ,Simulation,2023.0,19.1825,78.19658119658119,6.767610062893081
133,For Honor: Marching Fire Edition ,Action & adventure,2018.0,7.0,78.19658119658119,4.8
134,Forager ,Action & adventure,2020.0,15.0,78.19658119658119,6.8
135,Forza Horizon 4 Standard Edition,Racing & flying,2018.0,15.5,92.0,8.3
136,Forza Horizon 5 Standard Edition,Racing & flying,2021.0,20.5,78.19658119658119,6.6
137,Frog Detective: The Entire Mystery ,Action & adventure,2023.0,4.0,78.19658119658119,6.767610062893081
138,From Space ,Action & adventure,2023.0,6.0,78.19658119658119,6.767610062893081
139,Frostpunk Console Edition,Simulation,2019.0,11.0,84.0,8.2
140,Fuga: Melodies of Steel 2 ,Role playing,2023.0,20.0,78.19658119658119,6.767610062893081
141,Full Throttle Remastered ,Action & adventure,2020.0,4.0,78.19658119658119,5.9
142,Fuzion Frenzy ,Action & adventure,2001.0,3.5,70.0,7.0
143,Gang Beasts ,Fighting,2019.0,3.5,67.0,7.0
144,Garden Story ,Action & adventure,2022.0,10.5,78.19658119658119,6.767610062893081
145,Gears 5 Game of the Year Edition,Shooter,2020.0,11.5,82.0,7.6
146,Gears of War ,Shooter,2009.0,9.0,94.0,8.4
147,Gears of War 2 ,Shooter,2010.0,10.0,93.0,7.9
148,Gears of War 3 ,Shooter,2012.0,9.5,91.0,8.1
149,Gears of War 4 ,Shooter,2016.0,9.0,84.0,7.0
150,Gears of War: Judgment ,Shooter,2013.0,7.0,79.0,5.7
151,Gears of War: Ultimate Edition ,Shooter,2015.0,9.0,82.0,7.7
152,Gears Tactics ,Strategy,2020.0,25.0,78.19658119658119,7.3
153,Generation Zero ,Action & adventure,2019.0,19.0,50.0,6.3
154,Genesis Noir ,Action & adventure,2021.0,4.5,81.0,7.3
155,Ghostlore Game Preview,Role playing,2022.0,8.5,78.19658119658119,6.767610062893081
156,Goat Simulator ,Action & adventure,2015.0,2.5,53.0,6.2
157,GoldenEye 007 ,Action & adventure,2023.0,8.5,78.19658119658119,5.9
158,Golf With Your Friends ,Family & kids,2020.0,6.0,68.0,4.6
159,Grand Theft Auto V ,Action & adventure,2014.0,32.5,97.0,7.9
160,GRID ,Action & adventure,2019.0,22.0,81.0,6.767610062893081
161,GRID Legends ,Racing & flying,2022.0,6.5,78.19658119658119,5.7
162,Grim Fandango Remastered ,Action & adventure,2020.0,11.0,78.19658119658119,6.9
163,GRIS ,Platformer,2022.0,3.5,78.19658119658119,6.767610062893081
164,Grounded Game Preview,Action & adventure,2022.0,25.5,78.19658119658119,5.2
165,Guilty Gear Strive ,Fighting,2023.0,5.0,78.19658119658119,5.5
166,Halo 5: Guardians ,Shooter,2015.0,8.0,84.0,6.4
167,Halo Infinite Campaign,Shooter,2021.0,11.5,78.19658119658119,6.2
168,Halo Wars 2 Standard Edition,Strategy,2017.0,8.0,79.0,6.4
169,Halo Wars: Definitive Edition ,Strategy,2016.0,9.0,81.0,7.7
170,Halo: Spartan Assault ,Action & adventure,2013.0,4.0,53.0,4.6
171,Halo: The Master Chief Collection ,Action & adventure,2019.0,43.5,85.0,7.9
172,Headbangers: Rhythm Royale ,Music,2023.0,19.1825,78.19658119658119,6.767610062893081
173,Heavy Weapon ,Action & adventure,2007.0,2.5,77.0,7.7
174,Hellblade: Senua's Sacrifice ,Action & adventure,2018.0,7.5,88.0,8.0
175,Hello Neighbor 2 ,Action & adventure,2022.0,4.5,78.19658119658119,2.5
176,High On Life ,Action & adventure,2022.0,9.5,78.19658119658119,7.3
177,Hitman Trilogy ,Action & adventure,2022.0,23.0,78.19658119658119,6.767610062893081
178,Hollow Knight Voidheart Edition,Action & adventure,2018.0,28.0,89.0,8.7
179,Hot Wheels Unleashed Game Of The Year Edition,Family & kids,2022.0,9.0,78.19658119658119,7.3
180,House Flipper ,Simulation,2020.0,12.5,78.19658119658119,6.9
181,Human Fall Flat ,Action & adventure,2017.0,6.0,73.0,6.6
182,HUMANKIND™ ,Simulation,2023.0,19.1825,72.0,5.5
183,Hypnospace Outlaw ,Puzzle & trivia,2020.0,6.0,78.19658119658119,6.767610062893081
184,Immortals Fenyx Rising ,Action & adventure,2020.0,25.5,78.19658119658119,6.767610062893081
185,Infinite Guitars ,Action & adventure,2023.0,7.5,78.19658119658119,6.767610062893081
186,Injustice 2 ,Fighting,2017.0,5.5,89.0,8.1
187,Inkulinati Game Preview,Strategy,2022.0,8.0,78.19658119658119,6.767610062893081
188,INSIDE ,Action & adventure,2016.0,3.5,93.0,8.4
189,Insurgency: Sandstorm ,Action & adventure,2021.0,167.0,83.0,7.5
190,Iron Brigade ,Action & adventure,2010.0,6.5,78.19658119658119,6.767610062893081
191,It Takes Two ,Action & adventure,2021.0,14.0,78.19658119658119,7.9
192,Jetpac Refuelled ,Classics,2006.0,4.5,73.0,7.3
193,JoJo's Bizarre Adventure: All-Star Battle R ,Fighting,2022.0,9.0,78.19658119658119,6.767610062893081
194,Joy Ride Turbo ,Family & kids,2012.0,2.5,67.0,8.0
195,Jurassic World Evolution 2 ,Simulation,2021.0,6.5,81.0,7.4
196,Just Cause 4 Reloaded,Action & adventure,2019.0,16.0,70.0,5.7
197,Kameo ,Action & adventure,2009.0,10.0,79.0,8.0
198,Killer Instinct: Definitive Edition ,Fighting,2016.0,2.5,86.0,8.0
199,LEGO Star Wars: The Skywalker Saga ,Action & adventure,2019.0,19.0,78.19658119658119,6.767610062893081
200,Let's Build a Zoo ,Simulation,2022.0,38.5,78.19658119658119,6.767610062893081
201,Lies of P ,Action & adventure,2023.0,19.1825,78.19658119658119,6.767610062893081
202,Like a Dragon Gaiden: The Man Who Erased His Name ,Action & adventure,2023.0,8.5,78.19658119658119,6.767610062893081
203,Like a Dragon: Ishin! ,Action & adventure,2023.0,24.5,78.19658119658119,6.767610062893081
204,LIMBO ,Action & adventure,2014.0,3.5,85.0,8.0
205,Little Witch in the Woods Game Preview,Role playing,2022.0,8.5,78.19658119658119,6.767610062893081
206,Lonely Mountains: Downhill ,Action & adventure,2019.0,6.0,79.0,6.9
207,Loop Hero ,Action & adventure,2023.0,29.0,78.19658119658119,6.767610062893081
208,Loot River ,Action & adventure,2022.0,4.5,78.19658119658119,6.767610062893081
209,Lost in Random ,Action & adventure,2021.0,13.0,78.19658119658119,7.2
210,Madden NFL 22 ,Sports,2021.0,12.5,78.19658119658119,0.3
211,Madden NFL 23 ,Sports,2022.0,17.5,78.19658119658119,1.1
212,Maquette ,Action & adventure,2023.0,3.5,78.19658119658119,6.767610062893081
213,Mass Effect ,Role playing,2009.0,17.5,91.0,8.7
214,Mass Effect 2 ,Role playing,2010.0,25.0,96.0,8.9
215,Mass Effect 3 ,Action & adventure,2012.0,25.0,93.0,6.0
216,Mass Effect: Andromeda ,Role playing,2017.0,18.5,76.0,5.3
217,Mass Effect: Legendary Edition ,Action & adventure,2021.0,60.0,90.0,7.0
218,MASSIVE CHALICE ,Strategy,2015.0,16.5,72.0,6.8
219,Max: The Curse of Brotherhood ,Action & adventure,2013.0,6.5,72.0,7.4
220,McPixel 3 ,Other,2022.0,4.5,78.19658119658119,6.767610062893081
221,MechWarrior 5: Mercenaries ,Shooter,2021.0,38.0,78.19658119658119,5.5
222,Medal of Honor: Airborne ,Action & adventure,2010.0,5.5,73.0,6.9
223,Medieval Dynasty ,Action & adventure,2023.0,26.5,78.19658119658119,6.767610062893081
224,Merge & Blade ,Role playing,2023.0,8.0,78.19658119658119,6.767610062893081
225,Middle-earth: Shadow of War ,Action & adventure,2017.0,21.0,81.0,4.9
226,Minecraft ,Action & adventure,2017.0,87.0,88.0,7.5
227,Minecraft Dungeons ,Action & adventure,2020.0,5.5,74.0,7.7
228,Minecraft Legends ,Action & adventure,2023.0,9.0,78.19658119658119,3.9
229,Minecraft Preview ,Action & adventure,2021.0,87.0,78.19658119658119,6.767610062893081
230,Mineko's Night Market ,Role playing,2023.0,19.1825,78.19658119658119,6.767610062893081
231,Mirror's Edge ,Action & adventure,2010.0,6.5,79.0,7.6
232,Mirror's Edge Catalyst ,Other,2016.0,8.5,72.0,6.0
233,MLB The Show 23 ,Sports,2023.0,57.0,78.19658119658119,5.5
234,Monster Hunter Rise ,Action & adventure,2023.0,23.0,78.19658119658119,2.0
235,Monster Sanctuary ,Role playing,2020.0,29.5,78.19658119658119,7.9
236,Monster Train ,Card & board,2020.0,4.0,78.19658119658119,8.1
237,Moonlighter ,Action & adventure,2018.0,14.0,84.0,7.6
238,Mortal Kombat 11 ,Fighting,2019.0,6.5,86.0,3.4
239,MotoGP 22 ,Racing & flying,2022.0,10.5,78.19658119658119,6.767610062893081
240,Mount & Blade II: Bannerlord ,Action & adventure,2022.0,38.5,78.19658119658119,5.3
241,My Friend Peppa Pig ,Family & kids,2021.0,1.0,78.19658119658119,6.767610062893081
242,My Time At Portia ,Role playing,2019.0,69.5,73.0,7.1
243,Naraka: Bladepoint Deluxe Edition,Action & adventure,2022.0,19.1825,78.19658119658119,6.767610062893081
244,NBA Live 19 ,Sports,2018.0,27.0,75.0,6.4
245,Need for Speed ,Racing & flying,2015.0,15.5,65.0,7.6
246,Need for Speed Heat ,Racing & flying,2019.0,13.5,74.0,6.6
247,Need for Speed Payback ,Racing & flying,2017.0,18.5,61.0,4.1
248,Need for Speed Rivals ,Racing & flying,2013.0,13.0,75.0,5.8
249,Need for Speed: Hot Pursuit Remastered ,Action & adventure,2020.0,16.5,77.0,6.5
250,Neon Abyss ,Platformer,2020.0,12.0,81.0,7.0
251,New Super Lucky's Tale ,Action & adventure,2020.0,6.5,80.0,6.8
252,NHL 22 ,Sports,2021.0,60.5,78.19658119658119,3.2
253,NHL 23 ,Sports,2022.0,12.0,78.19658119658119,1.3
254,NHL 94 Rewind ,Sports,2021.0,11.0,78.19658119658119,6.3
255,Ni no Kuni II: Revenant Kingdom The Prince's Edition,Role playing,2023.0,39.5,78.19658119658119,6.767610062893081
256,Ni no Kuni: Wrath of the White Witch ,Role playing,2022.0,44.5,78.19658119658119,6.767610062893081
257,Ninja Gaiden 3: Razor's Edge ,Action & adventure,2021.0,7.5,70.0,7.1
258,Ninja Gaiden Σ ,Action & adventure,2021.0,14.0,72.0,7.2
259,Ninja Gaiden Σ2 ,Action & adventure,2021.0,11.0,78.19658119658119,7.3
260,Ninja Gaiden: Master Collection ,Action & adventure,2021.0,27.0,72.0,7.2
261,No Man's Sky ,Action & adventure,2018.0,30.5,77.0,7.5
262,NORCO ,Action & adventure,2022.0,6.0,78.19658119658119,6.767610062893081
263,OPUS: Echo of Starsong Full Bloom Edition,Action & adventure,2022.0,10.0,78.19658119658119,6.767610062893081
264,Ori and the Blind Forest: Definitive Edition ,Action & adventure,2016.0,9.0,88.0,8.2
265,Ori and the Will of the Wisps ,Action & adventure,2020.0,12.0,90.0,8.9
266,Overcooked! 2 ,Family & kids,2018.0,7.0,83.0,7.0
267,Pac-Man Museum+ ,Action & adventure,2022.0,2.5,64.0,6.767610062893081
268,Party Animals ,Action & adventure,2023.0,0.5,78.19658119658119,6.767610062893081
269,PAW Patrol Mighty Pups Save Adventure Bay ,Action & adventure,2020.0,3.0,78.19658119658119,6.767610062893081
270,PAW Patrol: Grand Prix ,Family & kids,2022.0,1.5,78.19658119658119,6.767610062893081
271,Payday 2: Crimewave Edition ,Shooter,2015.0,24.5,65.0,3.7
272,Peggle ,Puzzle & trivia,2009.0,4.0,89.0,7.7
273,Peggle 2 ,Puzzle & trivia,2013.0,6.0,77.0,7.1
274,Pentiment ,Action & adventure,2022.0,15.0,78.19658119658119,6.4
275,Perfect Dark ,Classics,2010.0,8.5,79.0,8.4
276,Perfect Dark Zero ,Action & adventure,2009.0,7.5,81.0,7.2
277,Persona 3 Portable ,Role playing,2023.0,65.0,78.19658119658119,6.1
278,Persona 4 Golden ,Role playing,2023.0,68.5,78.19658119658119,9.6
279,Persona 5 Tactica ,Strategy,2023.0,19.1825,78.19658119658119,6.767610062893081
280,Phoenix Point ,Classics,2019.0,35.0,78.19658119658119,6.767610062893081
281,Phoenix Wright: Ace Attorney Trilogy ,Action & adventure,2019.0,59.5,78.19658119658119,6.767610062893081
282,Pikuniku ,Platformer,2020.0,3.0,78.19658119658119,7.9
283,Pillars of Eternity II: Deadfire Ultimate Edition,Role playing,2020.0,42.5,78.19658119658119,5.8
284,Pillars of Eternity: Complete Edition ,Role playing,2017.0,31.5,86.0,7.3
285,Planet of Lana ,Platformer,2023.0,4.5,78.19658119658119,4.2
286,Plants vs. Zombies ,Action & adventure,2010.0,8.5,89.0,8.5
287,Plants vs. Zombies: Battle for Neighborville ,Shooter,2019.0,5.0,76.0,5.6
288,Plants vs. Zombies: Garden Warfare ,Shooter,2014.0,8.0,76.0,7.4
289,Plants vs. Zombies: Garden Warfare 2 ,Shooter,2016.0,8.0,80.0,8.0
290,Potion Craft: Alchemist Simulator ,Puzzle & trivia,2021.0,20.0,78.19658119658119,6.767610062893081
291,PowerWash Simulator ,Simulation,2022.0,36.0,78.19658119658119,4.0
292,Prey ,Action & adventure,2017.0,16.5,82.0,7.2
293,Psychonauts ,Action & adventure,2005.0,12.0,88.0,8.8
294,Psychonauts 2 ,Action & adventure,2021.0,15.0,91.0,6.4
295,Quake ,Shooter,2021.0,5.5,78.19658119658119,7.9
296,Quake II ,Shooter,2023.0,8.0,78.19658119658119,6.767610062893081
297,Quantum Break ,Action & adventure,2016.0,10.0,77.0,7.3
298,RAGE ,Action & adventure,2011.0,11.0,81.0,6.7
299,RAGE 2 ,Action & adventure,2019.0,11.0,72.0,6.3
300,Railway Empire 2 ,Simulation,2023.0,29.0,78.19658119658119,6.767610062893081
301,Rainbow Billy: The Curse of the Leviathan ,Action & adventure,2021.0,11.5,85.0,4.2
302,Rare Replay ,Action & adventure,2015.0,25.0,84.0,7.9
303,Ravenlok ,Action & adventure,2023.0,4.0,78.19658119658119,2.0
304,ReCore ,Action & adventure,2016.0,12.5,63.0,6.7
305,Research and Destroy ,Shooter,2022.0,14.0,78.19658119658119,6.767610062893081
306,Roboquest ,Shooter,2023.0,6.5,78.19658119658119,6.767610062893081
307,Rubber Bandits ,Action & adventure,2021.0,19.1825,78.19658119658119,6.767610062893081
308,Rune Factory 4 Special ,Action & adventure,2021.0,37.5,83.0,6.767610062893081
309,Rush: A Disney-Pixar Adventure ,Family & kids,2017.0,3.0,68.0,6.1
310,Ryse: Son of Rome ,Action & adventure,2014.0,6.5,60.0,6.4
311,ScreamRide ,Action & adventure,2015.0,9.0,71.0,4.8
312,SD Gundam Battle Alliance ,Action & adventure,2022.0,17.5,78.19658119658119,6.767610062893081
313,Sea of Solitude ,Action & adventure,2019.0,3.5,72.0,6.7
314,Sea of Stars ,Role playing,2023.0,19.1825,78.19658119658119,6.767610062893081
315,Sea of Thieves 2023 Edition,Action & adventure,2018.0,42.5,69.0,5.3
316,Shadow Warrior 3 Definitive Edition,Action & adventure,2022.0,5.5,78.19658119658119,6.767610062893081
317,Shadowrun Returns ,Role playing,2022.0,12.0,78.19658119658119,6.767610062893081
318,Shadowrun: Dragonfall Director's Cut,Role playing,2022.0,20.5,78.19658119658119,6.767610062893081
319,Shadowrun: Hong Kong Extended Edition,Role playing,2022.0,21.0,78.19658119658119,6.767610062893081
320,Skate ,Sports,2010.0,10.5,86.0,8.5
321,Skate 3 ,Sports,2014.0,9.5,80.0,8.3
322,Slay The Spire ,Card & board,2019.0,12.5,78.19658119658119,7.0
323,Slayers X: Terminal Aftermath: Vengance of the Slayer ,Action & adventure,2023.0,3.5,78.19658119658119,6.767610062893081
324,Sniper Elite 5 ,Action & adventure,2022.0,10.5,78.19658119658119,7.3
325,SnowRunner ,Simulation,2021.0,100.5,81.0,7.2
326,Soccer Story ,Action & adventure,2022.0,12.0,78.19658119658119,6.767610062893081
327,Solar Ash ,Action & adventure,2023.0,5.5,78.19658119658119,6.767610062893081
328,SOMA ,Action & adventure,2017.0,9.0,82.0,8.4
329,Somerville ,Action & adventure,2022.0,3.5,78.19658119658119,3.5
330,Soul Hackers 2 ,Role playing,2022.0,33.0,78.19658119658119,3.9
331,Spacelines from the Far Out ,Action & adventure,2022.0,4.5,78.19658119658119,5.3
332,SpiderHeck ,Action & adventure,2022.0,9.0,78.19658119658119,6.767610062893081
333,Spiritfarer ,Action & adventure,2020.0,25.0,78.19658119658119,8.3
334,Spirittea ,Role playing,2023.0,19.1825,78.19658119658119,6.767610062893081
335,SSX ,Sports,2012.0,10.0,82.0,6.4
336,Stacking ,Action & adventure,2011.0,4.0,78.19658119658119,6.767610062893081
337,Star Wars Jedi: Fallen Order ,Action & adventure,2019.0,17.5,81.0,8.2
338,Star Wars: Battlefront ,Shooter,2015.0,8.0,75.0,4.6
339,Star Wars: Battlefront II ,Shooter,2017.0,6.5,66.0,1.9
340,Star Wars: Squadrons ,Action & adventure,2020.0,9.0,78.0,5.1
341,Stardew Valley ,Role playing,2016.0,53.0,89.0,7.8
